id,ticker_id,date_id,open,high,low,close,volume,vwap,daily_return_pct,sma_7,sma_30,ema_12,ema_26,macd,macd_signal,macd_histogram,rsi_14,bb_upper,bb_middle,bb_lower,volatility_7d,volume_zscore,is_outlier,target_next_close,ingested_at
3,1,20240513,184.0168,185.6641,183.2031,184.8504,72044800,,0,,,183.2016,183.0287,0.1729,0.0045,0.1684,77.2012,,,,,,f,185.9915,2026-05-11 03:09:19.738139
4,1,20240514,186.0709,186.8549,184.8603,185.9915,52393600,,0,183.9828,,183.994,183.4514,0.5426,0.1726,0.37,83.3088,,,,0.007703,,f,188.264,2026-05-11 03:09:19.738139
128,1,20241108,225.9358,227.4177,225.1799,225.7269,38328800,,0,223.9956,227.4353,224.5432,225.7292,-1.186,-1.5938,0.4078,59.0703,233.7843,225.4053,217.0263,0.008446,-0.6042,f,223.0117,2026-05-11 03:09:19.738139
129,1,20241111,223.7776,224.4738,220.2966,223.0118,42005600,,0,224.3907,226.6403,224.1082,225.3415,-1.2333,-1.4619,0.2286,40.0593,231.7075,224.5188,217.3301,0.009945,-0.3597,f,223.0117,2026-05-11 03:09:19.738139
130,1,20241112,223.33,224.3644,222.1465,223.0118,40398300,,0,224.2138,225.8864,223.7968,225.0092,-1.2124,-1.3748,0.1624,40.0597,228.5686,223.6055,218.6424,0.004493,-0.5578,f,223.8969,2026-05-11 03:09:19.738139
131,1,20241113,222.7929,225.4186,221.5497,223.8969,48566200,,0,223.6525,225.5292,223.8252,224.8505,-1.0253,-1.2633,0.238,49.4584,226.7741,223.1353,219.4965,0.005019,0.1495,f,226.9801,2026-05-11 03:09:19.738139
132,1,20241114,223.7975,227.6265,223.7776,226.9801,44923900,,0,224.3985,225.3902,224.7213,225.1543,-0.433,-1.0067,0.5737,70.7378,227.6887,223.3898,219.0909,0.005171,-0.0002,f,223.7776,2026-05-11 03:09:19.738139
133,1,20241115,225.17,225.6871,223.0515,223.7776,47923700,,0,224.6173,224.9821,224.4533,224.9579,-0.5046,-0.8214,0.3168,44.7077,227.7136,223.622,219.5304,0.008191,0.6893,f,226.7812,2026-05-11 03:09:19.738139
134,1,20241118,224.0262,228.4918,223.9467,226.7812,44633700,,0,225.5678,224.6424,225.1144,225.218,-0.1036,-0.5915,0.4879,62.1152,228.1645,224.244,220.3235,0.009525,0.215,f,227.0397,2026-05-11 03:09:19.738139
135,1,20241119,225.7468,228.9095,225.4285,227.0397,36211800,,0,226.0253,224.302,225.6613,225.4779,0.1834,-0.3327,0.5161,63.4343,228.6797,224.7488,220.8179,0.007963,-1.4764,f,227.7558,2026-05-11 03:09:19.738139
136,1,20241120,226.8209,228.6808,224.6627,227.7558,35169600,,0,226.7044,224.2458,226.2562,225.8029,0.4533,-0.0683,0.5216,67.5954,228.9163,225.3977,221.8791,0.004942,-1.5344,f,227.2785,2026-05-11 03:09:19.738139
137,1,20241121,227.6365,228.9095,224.4837,227.2785,42108300,,0,227.2756,224.4354,226.5465,226.0134,0.5331,0.1431,0.39,61.3955,229.2206,225.526,221.8314,0.001578,0.0182,f,228.6211,2026-05-11 03:09:19.738139
138,1,20241122,226.8209,229.4665,226.8209,228.6211,38168300,,0,227.7644,224.9131,227.1358,226.3854,0.7504,0.3471,0.4033,71.2656,229.9764,225.8154,221.6544,0.002655,-0.8567,f,231.6048,2026-05-11 03:09:19.738139
139,1,20241125,230.2025,231.9827,228.4918,231.6048,90152800,,0,228.9664,225.6493,228.4051,227.13,1.2751,0.6454,0.6297,83.6408,231.6754,226.6747,221.674,0.005307,2.7986,f,233.7829,2026-05-11 03:09:19.738139
140,1,20241126,232.0623,234.2901,232.0623,233.7829,45986200,,0,230.7566,226.4354,229.9325,228.0791,1.8534,1.0413,0.8121,88.4678,233.7308,227.7519,221.773,0.005458,-0.0912,f,233.6536,2026-05-11 03:09:19.738139
141,1,20241127,233.1961,234.4095,232.5397,233.6536,33498400,,0,232.3862,227.2612,230.9894,228.8744,2.115,1.4115,0.7035,86.4517,235.0637,228.7275,222.3913,0.005635,-0.7785,f,236.0406,2026-05-11 03:09:19.738139
142,1,20241129,233.5343,236.518,232.6988,236.0406,28481400,,0,234.0799,227.9309,232.424,229.8967,2.5273,1.7866,0.7407,91.3158,237.2443,229.6336,222.0229,0.004851,-0.9384,f,238.2883,2026-05-11 03:09:19.738139
143,1,20241202,235.9809,239.4818,235.8715,238.2883,48137100,,0,235.6783,228.7683,234.0896,231.0939,2.9957,2.1918,0.8039,94.0113,239.2183,231.0846,222.9509,0.004878,0.2312,f,241.3317,2026-05-11 03:09:19.738139
144,1,20241203,238.5071,241.4411,237.602,241.3317,38861000,,0,237.8535,229.9896,236.1466,232.5544,3.5922,2.6575,0.9347,96.1599,242.2173,232.5397,222.8621,0.005876,-0.2855,f,241.6897,2026-05-11 03:09:19.738139
145,1,20241204,241.5505,242.7837,239.9393,241.6897,44383900,,0,239.8086,231.2348,237.7209,233.8577,3.8632,3.0763,0.7869,96.3642,244.3553,234.0047,223.6541,0.005404,-0.0066,f,241.7195,2026-05-11 03:09:19.738139
146,1,20241205,242.6644,243.2114,240.8145,241.7195,40033900,,0,241.11,232.423,238.8566,234.9792,3.8774,3.3677,0.5097,96.3855,245.7714,235.4011,225.0308,0.004757,-0.3006,f,241.5206,2026-05-11 03:09:19.738139
147,1,20241206,241.5903,243.3009,240.7648,241.5206,36870600,,0,241.5988,233.3924,239.6133,235.9124,3.7009,3.5039,0.197,91.614,246.1522,236.8253,227.4984,0.000684,-0.4562,f,245.4094,2026-05-11 03:09:19.738139
148,1,20241209,240.5161,245.8968,240.4366,245.4094,44649200,,0,242.7127,234.8345,241.2595,237.2673,3.9922,3.6632,0.329,96.3358,247.3251,238.5041,229.6831,0.006138,-0.0277,f,246.4239,2026-05-11 03:09:19.738139
149,1,20241210,245.5486,246.8615,244.0071,246.4239,36914800,,0,244.061,236.144,242.7263,238.5736,4.1527,3.8323,0.3204,96.9351,248.6422,239.986,231.3298,0.006099,-0.4807,f,245.1508,2026-05-11 03:09:19.738139
150,1,20241211,246.6128,249.4374,244.9221,245.1508,45205800,,0,245.0698,237.3514,243.4149,239.5119,3.903,3.8795,0.0235,76.1299,249.1552,241.1228,233.0904,0.006716,0.9352,f,246.6129,2026-05-11 03:09:19.738139
151,1,20241212,245.5487,247.3886,244.3452,246.6129,32777500,,0,245.9692,238.6086,244.3232,240.5249,3.7983,3.8616,-0.0633,82.0279,249.2487,242.4187,235.5887,0.003556,-1.1487,f,246.7819,2026-05-11 03:09:19.738139
152,1,20241213,246.4736,247.9356,244.9022,246.7819,33155300,,0,246.2164,239.9088,245.0215,241.4176,3.6039,3.7863,-0.1824,82.6862,249.2093,243.4929,237.7765,0.003225,-1.3437,f,249.6761,2026-05-11 03:09:19.738139
153,1,20241216,246.6427,250.0143,246.3045,249.6761,51694800,,0,247.3275,241.3124,246.3435,242.5957,3.7478,3.7661,-0.0183,90.5656,250.2805,244.6316,238.9827,0.00457,1.9299,f,252.1028,2026-05-11 03:09:19.738139
154,1,20241217,248.7213,252.4509,248.4229,252.1028,51356400,,0,249.1049,242.679,247.9793,243.952,4.0273,3.8445,0.1828,93.7439,252.4869,245.7088,238.9307,0.005204,1.4466,f,246.7023,2026-05-11 03:09:19.738139
155,1,20241218,250.79,252.8985,246.394,246.7023,56774100,,0,249.1063,243.5403,247.6166,244.3444,3.2722,3.6953,-0.4231,46.9156,252.4147,246.21,240.0053,0.010731,1.7018,f,248.4329,2026-05-11 03:09:19.738139
156,1,20241219,246.1553,250.6309,245.7475,248.4329,60882300,,0,249.1646,244.5256,247.8485,244.9277,2.9208,3.4443,-0.5235,56.2414,252.376,246.8814,241.3868,0.009995,1.6312,f,253.1074,2026-05-11 03:09:19.738139
157,1,20241220,246.6924,253.6146,244.3552,253.1074,147495300,,0,249.7983,245.6633,249.3421,246.0946,3.2475,3.3537,-0.1062,73.1833,253.4028,248.04,242.6772,0.011968,2.8024,f,253.8831,2026-05-11 03:09:19.738139
158,1,20241223,253.3858,254.261,252.073,253.8831,40858800,,0,251.0784,246.703,250.6319,247.2057,3.4262,3.3707,0.0555,75.2963,254.9864,248.8874,242.7884,0.006992,-0.4531,f,256.7972,2026-05-11 03:09:19.738139
